Country,Year,Production,Consumption,Exports,Imports
Angola,1990,3000000.0,1200000.0,5040000.0,
Angola,1991,4740000.0,1800000.0,4260000.0,
Angola,1992,4680000.0,2100000.0,4800000.0,
Angola,1993,1980000.0,1200000.0,2340000.0,
Angola,1994,4620000.0,1500000.0,480000.0,
Angola,1995,3720000.0,600000.0,2460000.0,
Angola,1996,4260000.0,1200000.0,3120000.0,
Angola,1997,3840000.0,2400000.0,3000000.0,
Angola,1998,5100000.0,1800000.0,3240000.0,
Angola,1999,3300000.0,1200000.0,3000000.0,
Angola,2000,3000000.0,1200000.0,1320000.0,
Angola,2001,1260000.0,1200000.0,840000.0,
Angola,2002,3420000.0,1200000.0,540000.0,
Angola,2003,2280000.0,900000.0,1020000.0,
Angola,2004,900000.0,900000.0,360000.0,
Angola,2005,1500000.0,900000.0,300000.0,
Angola,2006,2100000.0,1800000.0,300000.0,
Angola,2007,2160000.0,1800000.0,240000.0,
Angola,2008,2280000.0,1800000.0,360000.0,
Angola,2009,780000.0,1800000.0,420000.0,
Angola,2010,2100000.0,1800000.0,240000.0,
Angola,2011,1740000.0,1800000.0,480000.0,
Angola,2012,1980000.0,1800000.0,480000.0,
Angola,2013,2100000.0,1800000.0,360000.0,
Angola,2014,2340000.0,1800000.0,540000.0,
Angola,2015,2460000.0,1800000.0,660000.0,
Angola,2016,2700000.0,1800000.0,660000.0,
Angola,2017,2100000.0,1800000.0,540000.0,
Angola,2018,2520000.0,1800000.0,540000.0,
Angola,2019,3120000.0,1800000.0,1380000.0,
Austria,1990,,,,112800000.0
Austria,1991,,,,123480000.0
Austria,1992,,,,132360000.0
Austria,1993,,,,110160000.0
Austria,1994,,,,85020000.0
Austria,1995,,,,73860000.0
Austria,1996,,,,72600000.0
Austria,1997,,,,77640000.0
Austria,1998,,,,77580000.0
Austria,1999,,,,90000000.0
Austria,2000,,,,75420000.0
Austria,2001,,,,85920000.0
Austria,2002,,,,86820000.0
Austria,2003,,,,80160000.0
Austria,2004,,,,92280000.0
Austria,2005,,,,94620000.0
Austria,2006,,,,96060000.0
Austria,2007,,,,118080000.0
Austria,2008,,,,114060000.0
Austria,2009,,,,78540000.0
Austria,2010,,,,82140000.0
Austria,2011,,,,87120000.0
Austria,2012,,,,93540000.0
Austria,2013,,,,93300000.0
Austria,2014,,,,91500000.0
Austria,2015,,,,90780000.0
Austria,2016,,,,89700000.0
Austria,2017,,,,87600000.0
Austria,2018,,,,85740000.0
Austria,2019,,,,86880000.0
Belgium,1990,,,,0.0
Belgium,1991,,,,0.0
Belgium,1992,,,,0.0
Belgium,1993,,,,0.0
Belgium,1994,,,,0.0
Belgium,1995,,,,0.0
Belgium,1996,,,,0.0
Belgium,1997,,,,0.0
Belgium,1998,,,,0.0
Belgium,1999,,,,180180000.0
Belgium,2000,,,,209460000.0
Belgium,2001,,,,192540000.0
Belgium,2002,,,,227520000.0
Belgium,2003,,,,229080000.0
Belgium,2004,,,,238080000.0
Belgium,2005,,,,243780000.0
Belgium,2006,,,,276300000.0
Belgium,2007,,,,240840000.0
Belgium,2008,,,,407520000.0
Belgium,2009,,,,354960000.0
Belgium,2010,,,,355440000.0
Belgium,2011,,,,349680000.0
Belgium,2012,,,,340080000.0
Belgium,2013,,,,330120000.0
Belgium,2014,,,,312720000.0
Belgium,2015,,,,332040000.0
Belgium,2016,,,,363120000.0
Belgium,2017,,,,340620000.0
Belgium,2018,,,,344520000.0
Belgium,2019,,,,371940000.0
Belgium/Luxembourg,1990,,,,120900000.0
Belgium/Luxembourg,1991,,,,104760000.0
Belgium/Luxembourg,1992,,,,109680000.0
Belgium/Luxembourg,1993,,,,123780000.0
Belgium/Luxembourg,1994,,,,135720000.0
Belgium/Luxembourg,1995,,,,144060000.0
Belgium/Luxembourg,1996,,,,151560000.0
Belgium/Luxembourg,1997,,,,152640000.0
Belgium/Luxembourg,1998,,,,214800000.0
Belgium/Luxembourg,1999,,,,0.0
Belgium/Luxembourg,2000,,,,0.0
Belgium/Luxembourg,2001,,,,0.0
Belgium/Luxembourg,2002,,,,0.0
Belgium/Luxembourg,2003,,,,0.0
Belgium/Luxembourg,2004,,,,0.0
Belgium/Luxembourg,2005,,,,0.0
